Etiquetas de fila;Suma de Nivel
Análisis Estructural y Dinámica de Maquinaria;23
Calibradores de corriente / patrones eléctricos;3
Galgas / feeler gauges;4
Herramientas manuales básicas (llaves/dados/destornilladores);2
Micrómetros (exterior/interior);5
Pies de metro / calibradores Vernier;5
Relojes comparadores y alexómetros;4
Cálculo y Física;23
Calibradores de corriente / patrones eléctricos;3
Galgas / feeler gauges;4
Herramientas manuales básicas (llaves/dados/destornilladores);2
Micrómetros (exterior/interior);5
Pies de metro / calibradores Vernier;5
Relojes comparadores y alexómetros;4
Cálculo y Física (Maquinaria Pesada);23
Calibradores de corriente / patrones eléctricos;3
Galgas / feeler gauges;4
Herramientas manuales básicas (llaves/dados/destornilladores);2
Micrómetros (exterior/interior);5
Pies de metro / calibradores Vernier;5
Relojes comparadores y alexómetros;4
Conectividad y Redes del Automóvil (CAN Bus);32
Alicates y herramientas de cableado;3
Generador de funciones;3
Herramientas manuales básicas (llaves/dados/destornilladores);3
Multímetro digital;5
Osciloscopio automotriz;5
Pinza amperimétrica;5
Scanner automotriz OBD;5
Simulador de sensores;3
Diagnóstico de Sistemas de Propulsión Inteligentes;30
Alicates y herramientas de cableado;3
Generador de funciones;3
Herramientas manuales básicas (llaves/dados/destornilladores);3
Multímetro digital;5
Osciloscopio automotriz;4
Pinza amperimétrica;5
Scanner automotriz OBD;4
Simulador de sensores;3
Diagnóstico electrónico;30
Alicates y herramientas de cableado;3
Generador de funciones;3
Herramientas manuales básicas (llaves/dados/destornilladores);3
Multímetro digital;5
Osciloscopio automotriz;4
Pinza amperimétrica;5
Scanner automotriz OBD;4
Simulador de sensores;3
Diagnóstico y Análisis de Fallas;47
Alicates / pinzas / tenazas;4
Cajas de dados y chicharras;5
Destornilladores (paleta, cruz, torx, impacto);4
Extractores y pullers;4
Herramientas específicas de frenos (purgador, tester de líquido, extractores de tambores);3
Herramientas específicas de motor (compresímetro, compresor de válvulas, pinzas de aros);4
Llaves Allen y dados Allen;4
Llaves combinadas / punta corona;5
Llaves de torque y medidores angulares;4
Martillos, mazas y combos;4
Micrómetros (exterior/interior);3
Pies de metro / calibradores Vernier;3
Diseño de Proyectos en Mantenimiento;12
Cajas de dados y chicharras;2
Equipos de diagnóstico (scanner, osciloscopio);2
Herramientas de metrología (micrómetros, pies de metro);2
Herramientas manuales básicas (llaves/dados/destornilladores);2
Llaves combinadas / punta corona;2
Multímetro digital;2
Diseño de Proyectos para Maquinaria Pesada;12
Cajas de dados y chicharras;2
Equipos de diagnóstico (scanner, osciloscopio);2
Herramientas de metrología (micrómetros, pies de metro);2
Herramientas manuales básicas (llaves/dados/destornilladores);2
Llaves combinadas / punta corona;2
Multímetro digital;2
Electricidad Aplicada a Sistemas Móviles;30
Alicates y herramientas de cableado;3
Generador de funciones;3
Herramientas manuales básicas (llaves/dados/destornilladores);3
Multímetro digital;5
Osciloscopio automotriz;4
Pinza amperimétrica;5
Scanner automotriz OBD;4
Simulador de sensores;3
Fundamentos de Electricidad y Electrónica en Maquinaria Pesada;30
Alicates y herramientas de cableado;3
Generador de funciones;3
Herramientas manuales básicas (llaves/dados/destornilladores);3
Multímetro digital;5
Osciloscopio automotriz;4
Pinza amperimétrica;5
Scanner automotriz OBD;4
Simulador de sensores;3
Gestión de Flotas y Recursos Logísticos;12
Cajas de dados y chicharras;2
Equipos de diagnóstico (scanner, osciloscopio);2
Herramientas de metrología (micrómetros, pies de metro);2
Herramientas manuales básicas (llaves/dados/destornilladores);2
Llaves combinadas / punta corona;2
Multímetro digital;2
Gestión de Mantenimiento Predictivo y Proactivo;12
Cajas de dados y chicharras;2
Equipos de diagnóstico (scanner, osciloscopio);2
