codigo,nombre,stock_disponible,stock,tipo,nivel_uso,categoria
12334,ALICATE CORTANTE,49,49,Fijos,4,Alicates / pinzas
12333,ALICATE DE PUNTA,52,52,Fijos,4,Alicates / pinzas
12336,ALICATE SEEGER,33,33,Fijos,4,Alicates / pinzas
12335,ALICATE UNIVERSAL,43,43,Fijos,4,Alicates / pinzas
10826,Alicate de resorte de freno,1,1,Fijos,4,Alicates / pinzas
10596,"Alicate para anillos elasticos,N°1",1,1,Fijos,4,Alicates / pinzas
10597,"Alicate para anillos elasticos,N°2",1,1,Fijos,4,Alicates / pinzas
10598,"Alicate para anillos elasticos,N°3",1,1,Fijos,4,Alicates / pinzas
10599,"Alicate para anillos elasticos,N°4",1,1,Fijos,4,Alicates / pinzas
10600,"Alicate para anillos elasticos,N°5",1,1,Fijos,4,Alicates / pinzas
10601,"Alicate para anillos elasticos,N°6",1,1,Fijos,4,Alicates / pinzas
11619,"CALIBRADOR DE CORRIENTE,N°1",1,1,Fijos,4,Metrología - Pies de metro
11620,"CALIBRADOR DE CORRIENTE,N°2",1,1,Fijos,4,Metrología - Pies de metro
11621,"CALIBRADOR DE CORRIENTE,N°3",1,1,Fijos,4,Metrología - Pies de metro
11622,"CALIBRADOR DE CORRIENTE,N°4",1,1,Fijos,4,Metrología - Pies de metro
11623,"CALIBRADOR DE CORRIENTE,N°5",1,1,Fijos,4,Metrología - Pies de metro
11624,"CALIBRADOR DE CORRIENTE,N°6",1,1,Fijos,4,Metrología - Pies de metro
11594,"CALIBRADOR DE PRESION,N°1",1,1,Fijos,4,Metrología - Pies de metro
11595,"CALIBRADOR DE PRESION,N°2",1,1,Fijos,4,Metrología - Pies de metro
11596,"CALIBRADOR DE PRESION,N°3",1,1,Fijos,4,Metrología - Pies de metro
11597,"CALIBRADOR DE PRESION,N°4",1,1,Fijos,4,Metrología - Pies de metro
11598,"CALIBRADOR DE PRESION,N°5",1,1,Fijos,4,Metrología - Pies de metro
11585,"CALIBRADOR DE PROCESOS 720 SERIES,N°1",1,1,Fijos,4,Metrología - Pies de metro
11586,"CALIBRADOR DE PROCESOS 720 SERIES,N°2",1,1,Fijos,4,Metrología - Pies de metro
11587,"CALIBRADOR DE PROCESOS 720 SERIES,N°3",1,1,Fijos,4,Metrología - Pies de metro
11588,"CALIBRADOR LOOP 707,N°1",1,1,Fijos,4,Metrología - Pies de metro
11589,"CALIBRADOR LOOP 707,N°2",1,1,Fijos,4,Metrología - Pies de metro
11590,"CALIBRADOR LOOP 707,N°3",1,1,Fijos,4,Metrología - Pies de metro
11591,"CALIBRADOR LOOP 707,N°4",1,1,Fijos,4,Metrología - Pies de metro
